run_key,run_directory_id,stage,execution_attempt,git_commit,config_file_sha256,resolved_config_file_sha256,protocol_sha256,candidate_sha256,scale,task_type,seed,gamma,rho,candidate,instance_sha256,instance_canonical_sha256,instance_identity_sha256,baseline_run_key,anchor_sha256,state,algorithm_status,scientific_status,algorithm_runtime,master_runtime,separation_runtime,post_evaluation_wall_runtime,total_wall_runtime,penalized_runtime_par2,baseline_robust_cost,cost_budget,actual_robust_cost,actual_price_of_fairness,objective_t,robust_minimum_fill_rate,wminfr,minimum_weighted_mean_fill_rate,inventory,opened_warehouses,iterations,scenario_block_count,certified_farkas_cut_count,baseline_algorithm_runtime,baseline_inventory,baseline_opened_warehouses
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_ee655fd816a51af4c003ba89,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,180,0,0.025,certified_hybrid_scenario_benders_fairness,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,B4380F230A2A604F581E78C5CDAFC10221FFE05881C04F23EDB66F923B097F46,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",B97DF333609E4E33C076DC25A18194B3C93FAA0AC9C868C1F14AA54E40FA2DA3,complete,optimal,certified_robust_optimal,0.0826292999990983,0.016521099998499267,0.025596400009817444,0.008286199998110533,0.09514069999568164,0.0826292999990983,30835.945641925333,31606.844282973463,31606.84428297347,0.025000000000000133,0.14014328943910126,0.8598567105608987,0.8598567105608986,0.8598567105608987,5131.6248486274435,8,1,1,0,29.950192499993136,5118.394440288385,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_3de438e7a0a4d3bddb5f8350,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,181,0,0.025,certified_hybrid_scenario_benders_fairness,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,866089C9887A18B1DC41B8C0889206C0A535E1A0C9FDD8B12A46743DE69EA3E6,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",604BDA23EE46E81F8B66E83249565A3D7CF5A4E051CA3700A76221372EEB96E6,complete,optimal,certified_robust_optimal,0.16090499999700114,0.03624219998891931,0.04747090001183096,0.025613500009058043,0.19852780000655912,0.16090499999700114,24338.2045780911,24946.659692543373,24909.363139497866,0.023467571717303848,0.0,1.0,1.0,1.0,6261.0,8,1,1,0,121.10709869999846,6261.05942940364,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_5d48aa4f2cd806c6e1f26217,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,182,0,0.025,certified_hybrid_scenario_benders_fairness,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,A7BA04ABC2CACC6867D716B0C6004CA7ABB154F786DA5BF42D60855B28FFF973,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",42F443014556754D4953DD33D754647DC0E6A8BC96976E9B56C2014B99469CA2,complete,optimal,certified_robust_optimal,0.13064339999982622,0.027077699996880256,0.034898499987320974,0.017003399989334866,0.1557390999951167,0.13064339999982622,24791.700391934064,25411.492901732414,25326.122544543774,0.021556494478433663,0.0,1.0,1.0,1.0,6115.0,8,1,1,0,87.64248559999396,6115.005750140401,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_531bf7a9678e4e10d1bfce9a,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,183,0,0.025,certified_hybrid_scenario_benders_fairness,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,3FA243B7B3D16E28BDF53094F25BE8012D5A536D4AF631A1079AD9B121C6933C,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",6459E138DD6E2A82EC7AD7F5F9B0D6E196A2CE58A615CBF4AE929BCD7EAD284B,complete,optimal,certified_robust_optimal,0.09584299998823553,0.020096300009754486,0.03843530001176987,0.010756000003311783,0.11213879997376353,0.09584299998823553,23890.80258250088,24488.0726470634,24435.942647063406,0.022817988750274187,0.0,1.0,1.0,1.0,6430.0,8,1,1,0,57.86027390000527,6429.99999999996,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_5eca9b7f00b84e5081cc6cc8,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,184,0,0.025,certified_hybrid_scenario_benders_fairness,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,B6E69410EF07CB4BEF43086A7EA99B51D67AD5FA17EAE9EEB69E44FA4BD3FE1F,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",087EDC92F7FD97F43015424D15AD9C6EE29C6041178DA803C4A8AF2F2310E744,complete,optimal,certified_robust_optimal,0.11490319999575149,0.017645499989157543,0.04203569999663159,0.012334700004430488,0.13239609998709057,0.11490319999575149,23972.611393977735,24571.926678827178,24571.926678827174,0.02499999999999991,0.010279730454609701,0.9897202695453903,0.9897202695453903,0.9897202695453903,6050.16000773097,8,1,1,0,47.59295109999948,6037.727272727275,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_1ad1973aadefafc4c58c1c4a,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,180,1,0.025,certified_hybrid_scenario_benders_fairness,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,F8CAF94A1FFA23159E8530C6D888BBCFD021D78A1F4EB81A144E6C3056643352,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":1,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",D500518121500052091532074873449C24151F6010957D12F3F97B23337E0685,complete,optimal,certified_robust_optimal,9.063899599990691,3.8702797000150895,4.973177600011695,0.8309680999955162,9.963305299999774,9.063899599990691,32390.9769806159,33200.75140513129,33200.75140513132,0.0250000000000008,0.14539598621994435,0.8546040137800557,0.8546040137800557,0.8546040137800557,5133.452482054314,8,2,14,1,66.77163390000351,5119.305909952353,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_ff2181691ef060227dae457d,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,181,1,0.025,certified_hybrid_scenario_benders_fairness,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,CD23ABEC1A33C2797C31EC8379AB2A56C6ABAF83AC07950209FB93EAE44C0794,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":1,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",C0400EEF43DC42505388A0F759627565CE4B9E0F57DA25391B21B190B7D05367,complete,optimal,certified_robust_optimal,7.372011600004043,1.4737620999949286,5.691470599980676,0.8098462000052677,8.24284120000084,7.372011600004043,24749.842870790126,25368.588942559876,25199.46269700223,0.0181665729580347,0.0,1.0,1.0,1.0,6535.1,8,2,14,1,143.16548969999712,6273.617631330426,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_a6940486bd5a4412e4a9ff0f,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,182,1,0.025,certified_hybrid_scenario_benders_fairness,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,1034A184D53EE341331F66AAD9CD67D4CCA646C01010D9B32505B68732FED100,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":1,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",9BECE633925488D4215DDD17DB25E55C62EA3A06406860BEA78B93F73C04F3F9,complete,optimal,certified_robust_optimal,11.094176099999459,3.4984568000072613,7.29777020002075,0.87825980001071,12.034516800005804,11.094176099999459,25235.04798528731,25865.92418491949,25646.798322251787,0.016316606063302874,0.001057934352594126,0.9989420656474058,0.9989420656474057,0.9989420656474058,6347.90438249798,8,4,16,3,196.1574416000076,6150.302869896,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_9a23b12a8742b78f934420ed,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,183,1,0.025,certified_hybrid_scenario_benders_fairness,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,E587386368D31EF6EFC5314D17E15764F027D524BF4CE0F030E421F5370BD5BB,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":1,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",9F786D66BA0381F05C0944CBDCBDDE012D0CDF6349B1628483FBE8BC603E32A6,complete,optimal,certified_robust_optimal,16.2021473999921,4.317910199984908,11.544970100017963,1.0132536000019172,17.27045990001352,16.2021473999921,24315.473915202987,24923.36076308306,24707.32284074384,0.01611520823765855,0.0,1.0,1.0,1.0,6693.24,8,5,17,4,253.3735594000027,6473.929661028667,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":1,""rho"":""0.025"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_353ea38d66b02437abb07016,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,184,1,0.025,certified_hybrid_scenario_benders_fairness,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,274E247DDEA2C1E10DA97308BC4DF5BEC69F46EA77F08C15C5BDF935B0043B63,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":1,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",142F54C9C694B0DF20C71D41362591BDA1AD546B5F16FE64057F8D82034DF053,complete,optimal,certified_robust_optimal,5.8194991999916965,1.852532400007476,3.5365107000106946,1.1686888999829534,7.080409200003487,5.8194991999916965,24311.475744141753,24919.262637745294,24918.659905919347,0.024975207929280208,0.015709319705103433,0.9842906802948965,0.9842906802948956,0.9842906802948965,6049.657222135294,8,2,14,1,210.72865750000346,6037.727272727272,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_6a8ba350b0c8f8425e4092f4,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,180,2,0.025,certified_hybrid_scenario_benders_fairness,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,C4C2015393262C8F13AC820C7B8A714F9C25A22B66655216EA33E0EA64FE986C,0711C6CF95271538C5E0D91867A64620B0209CD366F0FA40862ED84AC3707CD0,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":2,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",525C20FD3A96D5ECED53C6FDF7C4EEBCB0D50BA037FCA038E028540B06A1D417,complete,optimal,certified_robust_optimal,63.026733300008345,12.89200459998392,49.86799450000399,46.81968960008817,132.8293585000647,63.026733300008345,33865.211914745116,34711.84221261374,34711.84221261373,0.02499999999999969,0.1503253803642301,0.8496746196357698,0.8496746196357698,0.84967461963577,5135.017060514972,8,5,17,4,58.60363140000845,5119.285414074065,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_3bb5628274b5a4dc1833635f,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,181,2,0.025,certified_hybrid_scenario_benders_fairness,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,AB950915301505F5C073F716DFE4D9A984E46F336A2FAB18B3D976B5145103CD,FD15CD03A28703DFFCD15C22297E684AEA379E8785BDBFC73F89DC586120B2E2,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":2,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":181,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",E96F81C79AF606FBF718DC32F9F317F3874CA0F10572557237BDC78040505E84,complete,optimal,certified_robust_optimal,71.0562246000045,10.182472600004985,60.25390009996772,41.06404479984485,137.2951934999146,71.0562246000045,25124.566156385263,25752.68031029489,25725.625285312664,0.023923164491126858,0.0017887822487383785,0.9982112177512616,0.9982112177512614,0.9982112177512616,6681.99849471714,8,9,21,8,1010.2050850999949,6299.243995102065,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_6bf1fe31d7fa1c5fd9b9eddb,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,182,2,0.025,certified_hybrid_scenario_benders_fairness,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,EBE76A1C1A7BFBA7305C126DB319C3CB3EB767DE00313CE0C2B02D6996445E11,B0A78F2618D767877BBADA23A5144383E984456351BADEA1DC113D14D23AAD71,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":2,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":182,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",F2C9D9F052DBB51870358C35C43FE0801C7E7E50954EA2A02B1EDDF9C495D2DE,complete,optimal,certified_robust_optimal,78.25654059999215,9.056370399994194,68.59734739999112,39.90285739999672,141.59596940000483,78.25654059999215,25639.479964942067,26280.466964065618,26182.420960752566,0.021175975353356913,0.005798056682942115,0.9942019433170579,0.9942019433170577,0.9942019433170579,6352.360653446343,8,9,21,8,679.2238810999988,6171.407576787422,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_cefc6871ca65262ec611411a,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,183,2,0.025,certified_hybrid_scenario_benders_fairness,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,499AF36AA674D2C92A09C3C3BE7998F09180409879532A45348417146384CE69,4AFD3EF3785CCB637730B62A690C51D0D430A736F967B65B1FDC7DB0572956DC,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":2,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":183,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",A8D4A9D50B5E8D9A2FB3A4376CCB1309BA88BA87006BB7E31288F3D5B456F536,complete,optimal,certified_robust_optimal,76.71732679998968,11.245968399991398,64.75086499997997,48.738624100005836,148.567011399864,76.71732679998968,24682.96498542402,25300.039110059617,25156.610899216932,0.019189182258801285,0.0,1.0,1.0,1.0,6922.5999999999985,8,9,21,8,556.6467956999986,6499.57396273787,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":2,""rho"":""0.025"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_416eb309da09c1c9a811087c,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,large,frontier,184,2,0.025,certified_hybrid_scenario_benders_fairness,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,D3321BA690C5CAC58E1AA9E3ED11EDBDBDE398DB8549B347A9F1197C1AAA4594,871DFFD0707AF4B91804CC035E4032D2DB97F66D494E60B5883760B063F06D2A,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":2,""rho"":""NOT_APPLICABLE"",""scale"":""large"",""seed"":184,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",792854936D35FB381951ED851E83A7F48221AD41685678F5AAED7B6A4BFC38BB,complete,optimal,certified_robust_optimal,92.09749060000468,7.851284800010035,83.88041530000919,47.33148910012096,163.92658720003965,92.09749060000468,24635.49899448111,25251.386469343135,25251.174088992237,0.024991379092790034,0.02137019627410955,0.9786298037258905,0.9786298037258899,0.9786298037258904,6045.955354822477,8,6,18,5,1111.0995334000036,6038.481704215063,8
"{""candidate"":""certified_hybrid_scenario_benders_fairness"",""execution_attempt"":3,""gamma"":0,""rho"":""0.025"",""scale"":""medium_large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""frontier""}",r_b02947c3df8a425235b01996,GAMMA_SENSITIVITY,3,b1b5e9908bbb685b8a852aff762f08ce7226aba1,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,C26236A93E669B877D74DE0F08D0BC86817345821DEF91066911D723788C7C07,F8D058C390FC9446DD9885E58ACE06EAA2685B6B9007D1E787ABDDF66B1EBB0E,8AF2687A4340D03BE44C5A73FFD3BE1F1E015F5447D2B56FD9A8919049D46BA0,medium_large,frontier,180,0,0.025,certified_hybrid_scenario_benders_fairness,72D9415391E1C9DCB865144A6CB0D3DAEEA7DAB6A9143660C30970A7AC69C15D,72D9415391E1C9DCB865144A6CB0D3DAEEA7DAB6A9143660C30970A7AC69C15D,77A0C5CAE0F9AC9A2516ED0BB921A732B2EF4AE5160C42029EAA159FF0F17E4E,"{""candidate"":""baseline"",""execution_attempt"":3,""gamma"":0,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":180,""stage"":""GAMMA_SENSITIVITY"",""task_type"":""baseline""}",6A3F222FF6B91A29696055672A73898BAD7E80FC5324C3DBBDB25DBC7DD2F005,complete,optimal,certified_robust_optimal,0.22315349998825695,0.11448570000356995,0.05077739999978803,0.019077199991443194,0.257996699976502,0.22315349998825695,25594.55733817002,26234.42127162427,26234.21917609314,0.02499210396458662,0.15516614831711054,0.8448338516828895,0.8448338516828895,0.8448338516828895,3150.385432925495,6,1,1,0,14.928033300006064,3149.102848837214,6
